feature_number,old_column_name,new_column_name,feature_group,meaning,note
199,object_body_feature_071,feature_199_person_object_overlap,Object / Body,person-object overlap,Readable presentation name for a learned CNN embedding feature. It is not a manually coded detector.
200,object_body_feature_072,feature_200_body_part_overlap,Object / Body,body-part overlap,Readable presentation name for a learned CNN embedding feature. It is not a manually coded detector.
201,object_body_feature_073,feature_201_fast_body_movement,Object / Body,fast body movement,Readable presentation name for a learned CNN embedding feature. It is not a manually coded detector.
202,object_body_feature_074,feature_202_slow_body_movement,Object / Body,slow body movement,Readable presentation name for a learned CNN embedding feature. It is not a manually coded detector.
203,object_body_feature_075,feature_203_static_body_cue,Object / Body,static body cue,Readable presentation name for a learned CNN embedding feature. It is not a manually coded detector.
204,object_body_feature_076,feature_204_dynamic_body_cue,Object / Body,dynamic body cue,Readable presentation name for a learned CNN embedding feature. It is not a manually coded detector.
205,object_body_feature_077,feature_205_gesture_intensity,Object / Body,gesture intensity,Readable presentation name for a learned CNN embedding feature. It is not a manually coded detector.
206,object_body_feature_078,feature_206_arm_extension_cue,Object / Body,arm extension cue,Readable presentation name for a learned CNN embedding feature. It is not a manually coded detector.
207,object_body_feature_079,feature_207_hand_extension_cue,Object / Body,hand extension cue,Readable presentation name for a learned CNN embedding feature. It is not a manually coded detector.
208,object_body_feature_080,feature_208_leg_extension_cue,Object / Body,leg extension cue,Readable presentation name for a learned CNN embedding feature. It is not a manually coded detector.
209,object_body_feature_081,feature_209_body_balance_cue,Object / Body,body balance cue,Readable presentation name for a learned CNN embedding feature. It is not a manually coded detector.
210,object_body_feature_082,feature_210_body_imbalance_cue,Object / Body,body imbalance cue,Readable presentation name for a learned CNN embedding feature. It is not a manually coded detector.
211,object_body_feature_083,feature_211_fall_risk_posture,Object / Body,fall-risk posture,Readable presentation name for a learned CNN embedding feature. It is not a manually coded detector.
212,object_body_feature_084,feature_212_crouching_posture,Object / Body,crouching posture,Readable presentation name for a learned CNN embedding feature. It is not a manually coded detector.
213,object_body_feature_085,feature_213_leaning_posture,Object / Body,leaning posture,Readable presentation name for a learned CNN embedding feature. It is not a manually coded detector.
214,object_body_feature_086,feature_214_jumping_like_cue,Object / Body,jumping-like cue,Readable presentation name for a learned CNN embedding feature. It is not a manually coded detector.
215,object_body_feature_087,feature_215_contact_posture_cue,Object / Body,contact posture cue,Readable presentation name for a learned CNN embedding feature. It is not a manually coded detector.
216,object_body_feature_088,feature_216_non_contact_posture_cue,Object / Body,non-contact posture cue,Readable presentation name for a learned CNN embedding feature. It is not a manually coded detector.
217,object_body_feature_089,feature_217_group_posture_cue,Object / Body,group posture cue,Readable presentation name for a learned CNN embedding feature. It is not a manually coded detector.
218,object_body_feature_090,feature_218_single_posture_cue,Object / Body,single posture cue,Readable presentation name for a learned CNN embedding feature. It is not a manually coded detector.
219,object_body_feature_091,feature_219_crowd_formation_cue,Object / Body,crowd formation cue,Readable presentation name for a learned CNN embedding feature. It is not a manually coded detector.
220,object_body_feature_092,feature_220_person_count_cue,Object / Body,person count cue,Readable presentation name for a learned CNN embedding feature. It is not a manually coded detector.
221,object_body_feature_093,feature_221_object_count_cue,Object / Body,object count cue,Readable presentation name for a learned CNN embedding feature. It is not a manually coded detector.
222,object_body_feature_094,feature_222_human_shape_density,Object / Body,human shape density,Readable presentation name for a learned CNN embedding feature. It is not a manually coded detector.
223,object_body_feature_095,feature_223_object_shape_density,Object / Body,object shape density,Readable presentation name for a learned CNN embedding feature. It is not a manually coded detector.
224,object_body_feature_096,feature_224_body_outline_strength,Object / Body,body outline strength,Readable presentation name for a learned CNN embedding feature. It is not a manually coded detector.
225,object_body_feature_097,feature_225_face_visibility_cue,Object / Body,face visibility cue,Readable presentation name for a learned CNN embedding feature. It is not a manually coded detector.
226,object_body_feature_098,feature_226_hand_visibility_cue,Object / Body,hand visibility cue,Readable presentation name for a learned CNN embedding feature. It is not a manually coded detector.
227,object_body_feature_099,feature_227_leg_visibility_cue,Object / Body,leg visibility cue,Readable presentation name for a learned CNN embedding feature. It is not a manually coded detector.
228,object_body_feature_100,feature_228_upper_body_motion,Object / Body,upper-body motion,Readable presentation name for a learned CNN embedding feature. It is not a manually coded detector.
229,object_body_feature_101,feature_229_lower_body_motion,Object / Body,lower-body motion,Readable presentation name for a learned CNN embedding feature. It is not a manually coded detector.
230,object_body_feature_102,feature_230_body_direction_cue,Object / Body,body direction cue,Readable presentation name for a learned CNN embedding feature. It is not a manually coded detector.
231,object_body_feature_103,feature_231_interaction_pattern,Object / Body,interaction pattern,Readable presentation name for a learned CNN embedding feature. It is not a manually coded detector.
232,object_body_feature_104,feature_232_body_scene_relation,Object / Body,body-scene relation,Readable presentation name for a learned CNN embedding feature. It is not a manually coded detector.
233,object_body_feature_105,feature_233_person_scene_context,Object / Body,person-scene context,Readable presentation name for a learned CNN embedding feature. It is not a manually coded detector.
234,object_body_feature_106,feature_234_held_object_context,Object / Body,held-object context,Readable presentation name for a learned CNN embedding feature. It is not a manually coded detector.
235,object_body_feature_107,feature_235_near_object_context,Object / Body,near-object context,Readable presentation name for a learned CNN embedding feature. It is not a manually coded detector.
236,object_body_feature_108,feature_236_human_activity_cue,Object / Body,human activity cue,Readable presentation name for a learned CNN embedding feature. It is not a manually coded detector.
237,object_body_feature_109,feature_237_object_activity_cue,Object / Body,object activity cue,Readable presentation name for a learned CNN embedding feature. It is not a manually coded detector.
238,object_body_feature_110,feature_238_gesture_pattern_cue,Object / Body,gesture pattern cue,Readable presentation name for a learned CNN embedding feature. It is not a manually coded detector.
239,object_body_feature_111,feature_239_posture_pattern_cue,Object / Body,posture pattern cue,Readable presentation name for a learned CNN embedding feature. It is not a manually coded detector.
240,object_body_feature_112,feature_240_body_risk_cue,Object / Body,body-risk cue,Readable presentation name for a learned CNN embedding feature. It is not a manually coded detector.
241,object_body_feature_113,feature_241_body_safe_cue,Object / Body,body-safe cue,Readable presentation name for a learned CNN embedding feature. It is not a manually coded detector.
242,object_body_feature_114,feature_242_interaction_risk_cue,Object / Body,interaction-risk cue,Readable presentation name for a learned CNN embedding feature. It is not a manually coded detector.
243,object_body_feature_115,feature_243_interaction_safe_cue,Object / Body,interaction-safe cue,Readable presentation name for a learned CNN embedding feature. It is not a manually coded detector.
244,object_body_feature_116,feature_244_human_context_cue,Object / Body,human-context cue,Readable presentation name for a learned CNN embedding feature. It is not a manually coded detector.
245,object_body_feature_117,feature_245_body_context_cue,Object / Body,body-context cue,Readable presentation name for a learned CNN embedding feature. It is not a manually coded detector.
246,object_body_feature_118,feature_246_object_context_cue,Object / Body,object-context cue,Readable presentation name for a learned CNN embedding feature. It is not a manually coded detector.
247,object_body_feature_119,feature_247_pose_context_cue,Object / Body,pose-context cue,Readable presentation name for a learned CNN embedding feature. It is not a manually coded detector.
248,object_body_feature_120,feature_248_group_context_cue,Object / Body,group-context cue,Readable presentation name for a learned CNN embedding feature. It is not a manually coded detector.
249,object_body_feature_121,feature_249_person_location_cue,Object / Body,person-location cue,Readable presentation name for a learned CNN embedding feature. It is not a manually coded detector.
250,object_body_feature_122,feature_250_object_location_cue,Object / Body,object-location cue,Readable presentation name for a learned CNN embedding feature. It is not a manually coded detector.
251,object_body_feature_123,feature_251_body_motion_cue,Object / Body,body-motion cue,Readable presentation name for a learned CNN embedding feature. It is not a manually coded detector.
252,object_body_feature_124,feature_252_human_motion_cue,Object / Body,human-motion cue,Readable presentation name for a learned CNN embedding feature. It is not a manually coded detector.
253,object_body_feature_125,feature_253_object_motion_cue,Object / Body,object-motion cue,Readable presentation name for a learned CNN embedding feature. It is not a manually coded detector.
254,object_body_feature_126,feature_254_nan,Object / Body,,Readable presentation name for a learned CNN embedding feature. It is not a manually coded detector.
255,object_body_feature_127,feature_255_nan,Object / Body,,Readable presentation name for a learned CNN embedding feature. It is not a manually coded detector.
256,object_body_feature_128,feature_256_nan,Object / Body,,Readable presentation name for a learned CNN embedding feature. It is not a manually coded detector.
257,scene_activity_feature_001,feature_257_indoor_scene,Scene / Activity,indoor scene,Readable presentation name for a learned CNN embedding feature. It is not a manually coded detector.
258,scene_activity_feature_002,feature_258_outdoor_scene,Scene / Activity,outdoor scene,Readable presentation name for a learned CNN embedding feature. It is not a manually coded detector.
259,scene_activity_feature_003,feature_259_classroom_like_scene,Scene / Activity,classroom-like scene,Readable presentation name for a learned CNN embedding feature. It is not a manually coded detector.
260,scene_activity_feature_004,feature_260_room_background,Scene / Activity,room background,Readable presentation name for a learned CNN embedding feature. It is not a manually coded detector.
261,scene_activity_feature_005,feature_261_open_area,Scene / Activity,open area,Readable presentation name for a learned CNN embedding feature. It is not a manually coded detector.
262,scene_activity_feature_006,feature_262_street_like_scene,Scene / Activity,street-like scene,Readable presentation name for a learned CNN embedding feature. It is not a manually coded detector.
263,scene_activity_feature_007,feature_263_playground_like_scene,Scene / Activity,playground-like scene,Readable presentation name for a learned CNN embedding feature. It is not a manually coded detector.
264,scene_activity_feature_008,feature_264_crowd_scene,Scene / Activity,crowd scene,Readable presentation name for a learned CNN embedding feature. It is not a manually coded detector.
265,scene_activity_feature_009,feature_265_empty_scene,Scene / Activity,empty scene,Readable presentation name for a learned CNN embedding feature. It is not a manually coded detector.
266,scene_activity_feature_010,feature_266_calm_activity,Scene / Activity,calm activity,Readable presentation name for a learned CNN embedding feature. It is not a manually coded detector.
267,scene_activity_feature_011,feature_267_fast_activity,Scene / Activity,fast activity,Readable presentation name for a learned CNN embedding feature. It is not a manually coded detector.
268,scene_activity_feature_012,feature_268_slow_activity,Scene / Activity,slow activity,Readable presentation name for a learned CNN embedding feature. It is not a manually coded detector.
269,scene_activity_feature_013,feature_269_group_activity,Scene / Activity,group activity,Readable presentation name for a learned CNN embedding feature. It is not a manually coded detector.
270,scene_activity_feature_014,feature_270_single_person_activity,Scene / Activity,single-person activity,Readable presentation name for a learned CNN embedding feature. It is not a manually coded detector.
271,scene_activity_feature_015,feature_271_social_interaction,Scene / Activity,social interaction,Readable presentation name for a learned CNN embedding feature. It is not a manually coded detector.
272,scene_activity_feature_016,feature_272_physical_interaction,Scene / Activity,physical interaction,Readable presentation name for a learned CNN embedding feature. It is not a manually coded detector.
273,scene_activity_feature_017,feature_273_abnormal_activity,Scene / Activity,abnormal activity,Readable presentation name for a learned CNN embedding feature. It is not a manually coded detector.
274,scene_activity_feature_018,feature_274_normal_activity,Scene / Activity,normal activity,Readable presentation name for a learned CNN embedding feature. It is not a manually coded detector.
275,scene_activity_feature_019,feature_275_action_context,Scene / Activity,action context,Readable presentation name for a learned CNN embedding feature. It is not a manually coded detector.
276,scene_activity_feature_020,feature_276_movement_context,Scene / Activity,movement context,Readable presentation name for a learned CNN embedding feature. It is not a manually coded detector.
277,scene_activity_feature_021,feature_277_camera_movement,Scene / Activity,camera movement,Readable presentation name for a learned CNN embedding feature. It is not a manually coded detector.
278,scene_activity_feature_022,feature_278_camera_shake,Scene / Activity,camera shake,Readable presentation name for a learned CNN embedding feature. It is not a manually coded detector.
279,scene_activity_feature_023,feature_279_scene_transition,Scene / Activity,scene transition,Readable presentation name for a learned CNN embedding feature. It is not a manually coded detector.
280,scene_activity_feature_024,feature_280_background_change,Scene / Activity,background change,Readable presentation name for a learned CNN embedding feature. It is not a manually coded detector.
281,scene_activity_feature_025,feature_281_foreground_activity,Scene / Activity,foreground activity,Readable presentation name for a learned CNN embedding feature. It is not a manually coded detector.
282,scene_activity_feature_026,feature_282_crowded_background,Scene / Activity,crowded background,Readable presentation name for a learned CNN embedding feature. It is not a manually coded detector.
283,scene_activity_feature_027,feature_283_clean_background,Scene / Activity,clean background,Readable presentation name for a learned CNN embedding feature. It is not a manually coded detector.
284,scene_activity_feature_028,feature_284_complex_scene,Scene / Activity,complex scene,Readable presentation name for a learned CNN embedding feature. It is not a manually coded detector.
285,scene_activity_feature_029,feature_285_simple_scene,Scene / Activity,simple scene,Readable presentation name for a learned CNN embedding feature. It is not a manually coded detector.
286,scene_activity_feature_030,feature_286_high_activity_region,Scene / Activity,high activity region,Readable presentation name for a learned CNN embedding feature. It is not a manually coded detector.
287,scene_activity_feature_031,feature_287_low_activity_region,Scene / Activity,low activity region,Readable presentation name for a learned CNN embedding feature. It is not a manually coded detector.
288,scene_activity_feature_032,feature_288_interaction_zone,Scene / Activity,interaction zone,Readable presentation name for a learned CNN embedding feature. It is not a manually coded detector.
289,scene_activity_feature_033,feature_289_object_rich_scene,Scene / Activity,object-rich scene,Readable presentation name for a learned CNN embedding feature. It is not a manually coded detector.
290,scene_activity_feature_034,feature_290_person_rich_scene,Scene / Activity,person-rich scene,Readable presentation name for a learned CNN embedding feature. It is not a manually coded detector.
291,scene_activity_feature_035,feature_291_high_motion_scene,Scene / Activity,high motion scene,Readable presentation name for a learned CNN embedding feature. It is not a manually coded detector.
292,scene_activity_feature_036,feature_292_low_motion_scene,Scene / Activity,low motion scene,Readable presentation name for a learned CNN embedding feature. It is not a manually coded detector.
293,scene_activity_feature_037,feature_293_close_up_scene,Scene / Activity,close-up scene,Readable presentation name for a learned CNN embedding feature. It is not a manually coded detector.
294,scene_activity_feature_038,feature_294_wide_shot_scene,Scene / Activity,wide-shot scene,Readable presentation name for a learned CNN embedding feature. It is not a manually coded detector.
295,scene_activity_feature_039,feature_295_normal_play_context,Scene / Activity,normal play context,Readable presentation name for a learned CNN embedding feature. It is not a manually coded detector.
296,scene_activity_feature_040,feature_296_conflict_like_context,Scene / Activity,conflict-like context,Readable presentation name for a learned CNN embedding feature. It is not a manually coded detector.
297,scene_activity_feature_041,feature_297_gathering_context,Scene / Activity,gathering context,Readable presentation name for a learned CNN embedding feature. It is not a manually coded detector.
298,scene_activity_feature_042,feature_298_isolated_person_context,Scene / Activity,isolated person context,Readable presentation name for a learned CNN embedding feature. It is not a manually coded detector.
299,scene_activity_feature_043,feature_299_public_place_context,Scene / Activity,public place context,Readable presentation name for a learned CNN embedding feature. It is not a manually coded detector.
300,scene_activity_feature_044,feature_300_private_place_context,Scene / Activity,private place context,Readable presentation name for a learned CNN embedding feature. It is not a manually coded detector.
301,scene_activity_feature_045,feature_301_bright_scene,Scene / Activity,bright scene,Readable presentation name for a learned CNN embedding feature. It is not a manually coded detector.
302,scene_activity_feature_046,feature_302_dark_scene,Scene / Activity,dark scene,Readable presentation name for a learned CNN embedding feature. It is not a manually coded detector.
303,scene_activity_feature_047,feature_303_noisy_visual_scene,Scene / Activity,noisy visual scene,Readable presentation name for a learned CNN embedding feature. It is not a manually coded detector.
304,scene_activity_feature_048,feature_304_stable_visual_scene,Scene / Activity,stable visual scene,Readable presentation name for a learned CNN embedding feature. It is not a manually coded detector.
305,scene_activity_feature_049,feature_305_temporal_activity_pattern,Scene / Activity,temporal activity pattern,Readable presentation name for a learned CNN embedding feature. It is not a manually coded detector.
306,scene_activity_feature_050,feature_306_scene_safety_context,Scene / Activity,scene safety context,Readable presentation name for a learned CNN embedding feature. It is not a manually coded detector.
307,scene_activity_feature_051,feature_307_indoor_activity_cue,Scene / Activity,indoor activity cue,Readable presentation name for a learned CNN embedding feature. It is not a manually coded detector.
308,scene_activity_feature_052,feature_308_outdoor_activity_cue,Scene / Activity,outdoor activity cue,Readable presentation name for a learned CNN embedding feature. It is not a manually coded detector.
309,scene_activity_feature_053,feature_309_classroom_activity,Scene / Activity,classroom activity,Readable presentation name for a learned CNN embedding feature. It is not a manually coded detector.
310,scene_activity_feature_054,feature_310_home_like_activity,Scene / Activity,home-like activity,Readable presentation name for a learned CNN embedding feature. It is not a manually coded detector.
311,scene_activity_feature_055,feature_311_road_side_context,Scene / Activity,road-side context,Readable presentation name for a learned CNN embedding feature. It is not a manually coded detector.
312,scene_activity_feature_056,feature_312_field_like_context,Scene / Activity,field-like context,Readable presentation name for a learned CNN embedding feature. It is not a manually coded detector.
313,scene_activity_feature_057,feature_313_hallway_like_context,Scene / Activity,hallway-like context,Readable presentation name for a learned CNN embedding feature. It is not a manually coded detector.
314,scene_activity_feature_058,feature_314_room_layout_cue,Scene / Activity,room-layout cue,Readable presentation name for a learned CNN embedding feature. It is not a manually coded detector.
315,scene_activity_feature_059,feature_315_open_layout_cue,Scene / Activity,open-layout cue,Readable presentation name for a learned CNN embedding feature. It is not a manually coded detector.
316,scene_activity_feature_060,feature_316_background_motion,Scene / Activity,background motion,Readable presentation name for a learned CNN embedding feature. It is not a manually coded detector.
317,scene_activity_feature_061,feature_317_foreground_motion,Scene / Activity,foreground motion,Readable presentation name for a learned CNN embedding feature. It is not a manually coded detector.
318,scene_activity_feature_062,feature_318_scene_depth_cue,Scene / Activity,scene depth cue,Readable presentation name for a learned CNN embedding feature. It is not a manually coded detector.
319,scene_activity_feature_063,feature_319_scene_distance_cue,Scene / Activity,scene distance cue,Readable presentation name for a learned CNN embedding feature. It is not a manually coded detector.
320,scene_activity_feature_064,feature_320_camera_angle_cue,Scene / Activity,camera angle cue,Readable presentation name for a learned CNN embedding feature. It is not a manually coded detector.
321,scene_activity_feature_065,feature_321_top_view_cue,Scene / Activity,top-view cue,Readable presentation name for a learned CNN embedding feature. It is not a manually coded detector.
322,scene_activity_feature_066,feature_322_side_view_cue,Scene / Activity,side-view cue,Readable presentation name for a learned CNN embedding feature. It is not a manually coded detector.
323,scene_activity_feature_067,feature_323_front_view_cue,Scene / Activity,front-view cue,Readable presentation name for a learned CNN embedding feature. It is not a manually coded detector.
324,scene_activity_feature_068,feature_324_scene_clutter_cue,Scene / Activity,scene clutter cue,Readable presentation name for a learned CNN embedding feature. It is not a manually coded detector.
325,scene_activity_feature_069,feature_325_scene_clarity_cue,Scene / Activity,scene clarity cue,Readable presentation name for a learned CNN embedding feature. It is not a manually coded detector.
326,scene_activity_feature_070,feature_326_environment_cue,Scene / Activity,environment cue,Readable presentation name for a learned CNN embedding feature. It is not a manually coded detector.
327,scene_activity_feature_071,feature_327_activity_density,Scene / Activity,activity density,Readable presentation name for a learned CNN embedding feature. It is not a manually coded detector.
328,scene_activity_feature_072,feature_328_scene_density,Scene / Activity,scene density,Readable presentation name for a learned CNN embedding feature. It is not a manually coded detector.
329,scene_activity_feature_073,feature_329_crowd_density,Scene / Activity,crowd density,Readable presentation name for a learned CNN embedding feature. It is not a manually coded detector.
330,scene_activity_feature_074,feature_330_person_distribution,Scene / Activity,person distribution,Readable presentation name for a learned CNN embedding feature. It is not a manually coded detector.
331,scene_activity_feature_075,feature_331_object_distribution,Scene / Activity,object distribution,Readable presentation name for a learned CNN embedding feature. It is not a manually coded detector.
332,scene_activity_feature_076,feature_332_movement_distribution,Scene / Activity,movement distribution,Readable presentation name for a learned CNN embedding feature. It is not a manually coded detector.
333,scene_activity_feature_077,feature_333_scene_stability,Scene / Activity,scene stability,Readable presentation name for a learned CNN embedding feature. It is not a manually coded detector.
334,scene_activity_feature_078,feature_334_scene_instability,Scene / Activity,scene instability,Readable presentation name for a learned CNN embedding feature. It is not a manually coded detector.
335,scene_activity_feature_079,feature_335_transition_frequency,Scene / Activity,transition frequency,Readable presentation name for a learned CNN embedding feature. It is not a manually coded detector.
336,scene_activity_feature_080,feature_336_background_complexity,Scene / Activity,background complexity,Readable presentation name for a learned CNN embedding feature. It is not a manually coded detector.
337,scene_activity_feature_081,feature_337_foreground_complexity,Scene / Activity,foreground complexity,Readable presentation name for a learned CNN embedding feature. It is not a manually coded detector.
338,scene_activity_feature_082,feature_338_visual_noise_context,Scene / Activity,visual noise context,Readable presentation name for a learned CNN embedding feature. It is not a manually coded detector.
339,scene_activity_feature_083,feature_339_clear_scene_context,Scene / Activity,clear scene context,Readable presentation name for a learned CNN embedding feature. It is not a manually coded detector.
340,scene_activity_feature_084,feature_340_rapid_activity_context,Scene / Activity,rapid activity context,Readable presentation name for a learned CNN embedding feature. It is not a manually coded detector.
341,scene_activity_feature_085,feature_341_slow_activity_context,Scene / Activity,slow activity context,Readable presentation name for a learned CNN embedding feature. It is not a manually coded detector.
342,scene_activity_feature_086,feature_342_unsafe_scene_hint,Scene / Activity,unsafe scene hint,Readable presentation name for a learned CNN embedding feature. It is not a manually coded detector.
343,scene_activity_feature_087,feature_343_safe_scene_hint,Scene / Activity,safe scene hint,Readable presentation name for a learned CNN embedding feature. It is not a manually coded detector.
344,scene_activity_feature_088,feature_344_group_movement_cue,Scene / Activity,group movement cue,Readable presentation name for a learned CNN embedding feature. It is not a manually coded detector.
345,scene_activity_feature_089,feature_345_single_movement_cue,Scene / Activity,single movement cue,Readable presentation name for a learned CNN embedding feature. It is not a manually coded detector.
346,scene_activity_feature_090,feature_346_public_interaction_cue,Scene / Activity,public interaction cue,Readable presentation name for a learned CNN embedding feature. It is not a manually coded detector.
347,scene_activity_feature_091,feature_347_private_interaction_cue,Scene / Activity,private interaction cue,Readable presentation name for a learned CNN embedding feature. It is not a manually coded detector.
348,scene_activity_feature_092,feature_348_play_activity_cue,Scene / Activity,play activity cue,Readable presentation name for a learned CNN embedding feature. It is not a manually coded detector.
349,scene_activity_feature_093,feature_349_learning_activity_cue,Scene / Activity,learning activity cue,Readable presentation name for a learned CNN embedding feature. It is not a manually coded detector.
350,scene_activity_feature_094,feature_350_walking_activity_cue,Scene / Activity,walking activity cue,Readable presentation name for a learned CNN embedding feature. It is not a manually coded detector.
351,scene_activity_feature_095,feature_351_running_activity_cue,Scene / Activity,running activity cue,Readable presentation name for a learned CNN embedding feature. It is not a manually coded detector.
352,scene_activity_feature_096,feature_352_standing_activity_cue,Scene / Activity,standing activity cue,Readable presentation name for a learned CNN embedding feature. It is not a manually coded detector.
353,scene_activity_feature_097,feature_353_sitting_activity_cue,Scene / Activity,sitting activity cue,Readable presentation name for a learned CNN embedding feature. It is not a manually coded detector.
354,scene_activity_feature_098,feature_354_falling_context_cue,Scene / Activity,falling context cue,Readable presentation name for a learned CNN embedding feature. It is not a manually coded detector.
355,scene_activity_feature_099,feature_355_aggressive_context_cue,Scene / Activity,aggressive context cue,Readable presentation name for a learned CNN embedding feature. It is not a manually coded detector.
356,scene_activity_feature_100,feature_356_calm_context_cue,Scene / Activity,calm context cue,Readable presentation name for a learned CNN embedding feature. It is not a manually coded detector.
357,scene_activity_feature_101,feature_357_busy_environment_cue,Scene / Activity,busy environment cue,Readable presentation name for a learned CNN embedding feature. It is not a manually coded detector.
358,scene_activity_feature_102,feature_358_quiet_environment_cue,Scene / Activity,quiet environment cue,Readable presentation name for a learned CNN embedding feature. It is not a manually coded detector.
359,scene_activity_feature_103,feature_359_scene_object_layout,Scene / Activity,scene object layout,Readable presentation name for a learned CNN embedding feature. It is not a manually coded detector.
360,scene_activity_feature_104,feature_360_scene_person_layout,Scene / Activity,scene person layout,Readable presentation name for a learned CNN embedding feature. It is not a manually coded detector.
361,scene_activity_feature_105,feature_361_background_person_relation,Scene / Activity,background-person relation,Readable presentation name for a learned CNN embedding feature. It is not a manually coded detector.
362,scene_activity_feature_106,feature_362_foreground_person_relation,Scene / Activity,foreground-person relation,Readable presentation name for a learned CNN embedding feature. It is not a manually coded detector.
363,scene_activity_feature_107,feature_363_person_scene_distance,Scene / Activity,person-scene distance,Readable presentation name for a learned CNN embedding feature. It is not a manually coded detector.
364,scene_activity_feature_108,feature_364_object_scene_distance,Scene / Activity,object-scene distance,Readable presentation name for a learned CNN embedding feature. It is not a manually coded detector.
365,scene_activity_feature_109,feature_365_activity_region_pattern,Scene / Activity,activity-region pattern,Readable presentation name for a learned CNN embedding feature. It is not a manually coded detector.
366,scene_activity_feature_110,feature_366_motion_region_pattern,Scene / Activity,motion-region pattern,Readable presentation name for a learned CNN embedding feature. It is not a manually coded detector.
367,scene_activity_feature_111,feature_367_scene_region_pattern,Scene / Activity,scene-region pattern,Readable presentation name for a learned CNN embedding feature. It is not a manually coded detector.
368,scene_activity_feature_112,feature_368_normal_environment_cue,Scene / Activity,normal environment cue,Readable presentation name for a learned CNN embedding feature. It is not a manually coded detector.
369,scene_activity_feature_113,feature_369_abnormal_environment_cue,Scene / Activity,abnormal environment cue,Readable presentation name for a learned CNN embedding feature. It is not a manually coded detector.
370,scene_activity_feature_114,feature_370_interaction_background,Scene / Activity,interaction background,Readable presentation name for a learned CNN embedding feature. It is not a manually coded detector.
371,scene_activity_feature_115,feature_371_action_background,Scene / Activity,action background,Readable presentation name for a learned CNN embedding feature. It is not a manually coded detector.
372,scene_activity_feature_116,feature_372_group_scene_context,Scene / Activity,group-scene context,Readable presentation name for a learned CNN embedding feature. It is not a manually coded detector.
373,scene_activity_feature_117,feature_373_single_scene_context,Scene / Activity,single-scene context,Readable presentation name for a learned CNN embedding feature. It is not a manually coded detector.
374,scene_activity_feature_118,feature_374_movement_scene_context,Scene / Activity,movement-scene context,Readable presentation name for a learned CNN embedding feature. It is not a manually coded detector.
375,scene_activity_feature_119,feature_375_body_scene_context,Scene / Activity,body-scene context,Readable presentation name for a learned CNN embedding feature. It is not a manually coded detector.
376,scene_activity_feature_120,feature_376_risk_scene_context,Scene / Activity,risk-scene context,Readable presentation name for a learned CNN embedding feature. It is not a manually coded detector.
377,scene_activity_feature_121,feature_377_safe_scene_context,Scene / Activity,safe-scene context,Readable presentation name for a learned CNN embedding feature. It is not a manually coded detector.
378,scene_activity_feature_122,feature_378_temporal_scene_cue,Scene / Activity,temporal scene cue,Readable presentation name for a learned CNN embedding feature. It is not a manually coded detector.
379,scene_activity_feature_123,feature_379_visual_scene_cue,Scene / Activity,visual scene cue,Readable presentation name for a learned CNN embedding feature. It is not a manually coded detector.
380,scene_activity_feature_124,feature_380_activity_scene_cue,Scene / Activity,activity scene cue,Readable presentation name for a learned CNN embedding feature. It is not a manually coded detector.
381,scene_activity_feature_125,feature_381_context_scene_cue,Scene / Activity,context scene cue,Readable presentation name for a learned CNN embedding feature. It is not a manually coded detector.
382,scene_activity_feature_126,feature_382_overall_scene_pattern,Scene / Activity,overall scene pattern,Readable presentation name for a learned CNN embedding feature. It is not a manually coded detector.
383,scene_activity_feature_127,feature_383_nan,Scene / Activity,,Readable presentation name for a learned CNN embedding feature. It is not a manually coded detector.
384,scene_activity_feature_128,feature_384_nan,Scene / Activity,,Readable presentation name for a learned CNN embedding feature. It is not a manually coded detector.
385,safety_context_feature_001,feature_385_safe_context,Safety Context,safe context,Readable presentation name for a learned CNN embedding feature. It is not a manually coded detector.
386,safety_context_feature_002,feature_386_unsafe_context,Safety Context,unsafe context,Readable presentation name for a learned CNN embedding feature. It is not a manually coded detector.
387,safety_context_feature_003,feature_387_fight_like_cue,Safety Context,fight-like cue,Readable presentation name for a learned CNN embedding feature. It is not a manually coded detector.
388,safety_context_feature_004,feature_388_aggression_cue,Safety Context,aggression cue,Readable presentation name for a learned CNN embedding feature. It is not a manually coded detector.
389,safety_context_feature_005,feature_389_threat_like_cue,Safety Context,threat-like cue,Readable presentation name for a learned CNN embedding feature. It is not a manually coded detector.
390,safety_context_feature_006,feature_390_risk_pattern,Safety Context,risk pattern,Readable presentation name for a learned CNN embedding feature. It is not a manually coded detector.
391,safety_context_feature_007,feature_391_normal_behavior,Safety Context,normal behavior,Readable presentation name for a learned CNN embedding feature. It is not a manually coded detector.
392,safety_context_feature_008,feature_392_abnormal_behavior,Safety Context,abnormal behavior,Readable presentation name for a learned CNN embedding feature. It is not a manually coded detector.
393,safety_context_feature_009,feature_393_calm_behavior,Safety Context,calm behavior,Readable presentation name for a learned CNN embedding feature. It is not a manually coded detector.
394,safety_context_feature_010,feature_394_intense_behavior,Safety Context,intense behavior,Readable presentation name for a learned CNN embedding feature. It is not a manually coded detector.
395,safety_context_feature_011,feature_395_close_contact_risk,Safety Context,close-contact risk,Readable presentation name for a learned CNN embedding feature. It is not a manually coded detector.
396,safety_context_feature_012,feature_396_crowd_risk_cue,Safety Context,crowd-risk cue,Readable presentation name for a learned CNN embedding feature. It is not a manually coded detector.
